"","program_name","description","leisure_arts_dum","academics_dum","community_service_dum","professional_skill_dum"
"132","Day Camp (ages 11-12) at Rainbow Beach","Price:$108.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"133","Day Camp (ages 11-12) at Ridge","Price:$210.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"134","Day Camp (ages 11-12) at Robichaux","Price:$110.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"135","Day Camp (ages 11-12) at Rowan","Price:$148.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"136","Day Camp (ages 11-12) at Russell Square","Price:$110.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"137","Day Camp (ages 11-12) at Scottsdale","Price:$185.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"138","Day Camp (ages 11-12) at Seward","Price:$150.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"139","Day Camp (ages 11-12) at Shabbona","Price:$208.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"140","Day Camp (ages 11-12) at Sheridan","Price:$150.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"141","Day Camp (ages 11-12) at Sherman","Price:$95.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"142","Day Camp (ages 11-12) at Sherwood","Price:$95.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"143","Day Camp (ages 11-12) at Smith","Price:$150.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"144","Day Camp (ages 11-12) at South Shore","Price:$185.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"145","Day Camp (ages 11-12) at Stanton","Price:$150.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"146","Day Camp (ages 11-12) at Taylor","Price:$110.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"147","Day Camp (ages 11-12) at Tilton","Price:$80.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"148","Day Camp (ages 11-12) at Trumbull","Price:$110.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"149","Day Camp (ages 11-12) at Tuley","Price:$123.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"150","Day Camp (ages 11-12) at Union","Price:$150.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"151","Day Camp (ages 11-12) at Valley Forge","Price:$208.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"152","Day Camp (ages 11-12) at Vittum","Price:$185.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"153","Day Camp (ages 11-12) at Washington","Price:$148.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"154","Day Camp (ages 11-12) at Wentworth Gardens","Price:$73.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"155","Day Camp (ages 11-12) at West Lawn","Price:$185.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"156","Day Camp (ages 11-12) at West Pullman","Price:$80.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"157","Day Camp (ages 11-12) at White (Willye B.)","Price:$30.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"158","Day Camp (ages 11-12) at Wicker","Price:$200.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"159","Day Camp (ages 11-12) at Williams","Price:$73.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"160","Day Camp (ages 6) at Calumet","Price:$108.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"161","Day Camp (ages 6) at Mann","Price:$148.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"162","Day Camp (ages 6-12) at Eckhart","Price:$150.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"163","Day Camp (ages 6-7) at Abbott","Price:$89.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"164","Day Camp (ages 6-7) at Ada","Price:$95.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"165","Day Camp (ages 6-7) at Avalon","Price:$168.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"166","Day Camp (ages 6-7) at Blackhawk","Price:$148.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"167","Day Camp (ages 6-7) at Brainerd","Price:$108.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"168","Day Camp (ages 6-7) at Brands","Price:$185.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"169","Day Camp (ages 6-7) at Don Nash","Price:$148.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"170","Day Camp (ages 6-7) at Dunham","Price:$208.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"171","Day Camp (ages 6-7) at Fernwood","Price:$115.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
